Company Name,Size,Type of ownership,Industry,Headquarters
Riskified,501 to 1000 employees,Company - Private,Research & Development,"New York, NY"
Cecelia Health,51 to 200 employees,Company - Private,Health Care Services & Hospitals,"New York, NY"
Creative Data Resources,1 to 50 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
Systemart LLC,1 to 50 employees,Company - Private,Computer Hardware & Software,"Parsippany, NJ"
The Bank of New York Mellon,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
TechProjects,1 to 50 employees,Company - Private,IT Services,"North Brunswick, NJ"
IPRO,201 to 500 employees,Nonprofit Organization,Health Care Services & Hospitals,"N New Hyde Park, NY"
RN Staff,Unknown,Unknown,Staffing & Outsourcing,"Westfield, IN"
Abacus Service Corporation,501 to 1000 employees,Company - Private,Staffing & Outsourcing,"Southfield, MI"
CyberCoders,201 to 500 employees,Subsidiary or Business Segment,Staffing & Outsourcing,"Irvine, CA"
TECHNOCRAFT Solutions,1 to 50 employees,Company - Private,Advertising & Marketing,"Hilliard, OH"
Praescient Analytics,51 to 200 employees,Company - Private,Consulting,"Alexandria, VA"
RWJBarnabas Health,10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,"West Orange, NJ"
Reliable Software Resources,501 to 1000 employees,Company - Private,IT Services,"Northville, MI"
MVP Consulting Plus Inc,201 to 500 employees,Company - Private,Consumer Products Manufacturing,"Albany, NY"
Capgemini,10000+ employees,Company - Public,Enterprise Software & Network Solutions,"Paris, France"
Centers Plan for Healthy Living,501 to 1000 employees,Company - Private,Health Care Services & Hospitals,"Staten Island, NY"
RN Staff,Unknown,Unknown,Staffing & Outsourcing,"Westfield, IN"
Lorven Technologies Inc,1 to 50 employees,Company - Private,Accounting,"Plainsboro, NJ"
BNY Mellon,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
Norgate Technology Inc,51 to 200 employees,Company - Private,Staffing & Outsourcing,"Garden City, NY"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
The Bank of New York Mellon,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
HomeBridge Financial Services,1001 to 5000 employees,Company - Private,Lending,"Iselin, NJ"
Sharp Electronics Corporation,1001 to 5000 employees,Company - Public,IT Services,"Montvale, NJ"
"Avacend, Inc.",51 to 200 employees,Company - Private,Staffing & Outsourcing,"Alpharetta, GA"
Praescient Analytics,51 to 200 employees,Company - Private,Consulting,"Alexandria, VA"
Avani Technology Solutions,501 to 1000 employees,Company - Private,IT Services,"Rochester, NY"
Care Design New York,1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,"Albany, NY"
ACT Consulting,1 to 50 employees,Company - Private,Consulting,"London, United Kingdom"
EVERSANA,1001 to 5000 employees,Company - Private,Biotech & Pharmaceuticals,"Chicago, IL"
HOUSING AUTHORITY OF THE COUNTY OF SALT LAKE,51 to 200 employees,Government,Municipal Governments,"South Salt Lake, UT"
"CAO Group, INC",51 to 200 employees,Company - Private,Electrical & Electronic Manufacturing,"West Jordan, UT"
University of Utah,10000+ employees,College / University,Colleges & Universities,"Salt Lake City, UT"
Paladin Consulting Inc,501 to 1000 employees,Company - Private,Computer Hardware & Software,"Dallas, TX"
"SunTechPros, Inc.",1 to 50 employees,Company - Private,Consulting,"Morrisville, NC"
HCL Global Systems,10000+ employees,Company - Private,Consulting,"Farmington Hills, MI"
Abnormal Security,51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,"San Francisco, CA"
Akraya Inc.,51 to 200 employees,Company - Private,Staffing & Outsourcing,"Santa Clara, CA"
Goldman Sachs,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
Idexcel Inc.,501 to 1000 employees,Company - Private,IT Services,"Herndon, VA"
SPECTRAFORCE TECHNOLOGIES Inc.,501 to 1000 employees,Company - Private,Staffing & Outsourcing,"Raleigh, NC"
Easton Technical Products,201 to 500 employees,Company - Private,Consumer Products Manufacturing,"Salt Lake City, UT"
"VED Software Services, Inc.",51 to 200 employees,Company - Private,IT Services,"Farmington Hills, MI"
Ascential,1001 to 5000 employees,Company - Public,Internet,"London, United Kingdom"
F5 Networks,5001 to 10000 employees,Company - Public,Computer Hardware & Software,"Seattle, WA"
"Janus International Group, LLC",501 to 1000 employees,Company - Private,Industrial Manufacturing,"Temple, GA"
ClientSolv Technologies,51 to 200 employees,Company - Private,IT Services,"Greenwood Village, CO"
Vivint Solar,1001 to 5000 employees,Company - Public,Energy,"Lehi, UT"
YORKTOWN SYSTEMS GROUP INC,501 to 1000 employees,Company - Private,Consulting,"Huntsville, AL"
Shape Security,51 to 200 employees,Company - Private,IT Services,"Mountain View, CA"
Connor Group,201 to 500 employees,Company - Private,Accounting,"Santa Clara, CA"
Vivint Solar,1001 to 5000 employees,Company - Public,Energy,"Lehi, UT"
"VED Software Services, Inc.",51 to 200 employees,Company - Private,IT Services,"Farmington Hills, MI"
Abacus Service Corporation,501 to 1000 employees,Company - Private,Staffing & Outsourcing,"Southfield, MI"
Robert Half,10000+ employees,Company - Public,Staffing & Outsourcing,"Menlo Park, CA"
TCOE,1 to 50 employees,School / School District,Preschool & Child Care,"Springville, CA"
"Public Health Foundation Enterprises, In",1001 to 5000 employees,Nonprofit Organization,Social Assistance,"City of Industry, CA"
USfalcon,201 to 500 employees,Company - Private,Aerospace & Defense,"Cary, NC"
Hampton University,1001 to 5000 employees,College / University,Colleges & Universities,"Hampton, VA"
Collins Consulting Inc,201 to 500 employees,Company - Private,Consulting,"Schaumburg, IL"
Patient Advocate Foundation,51 to 200 employees,Nonprofit Organization,Social Assistance,"Hampton, VA"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
"Orbis, Inc.",201 to 500 employees,Company - Private,Architectural & Engineering Services,"Charleston, SC"
"ForKids, inc",51 to 200 employees,Nonprofit Organization,Social Assistance,"Norfolk, VA"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
"Orbis, Inc.",201 to 500 employees,Company - Private,Architectural & Engineering Services,"Charleston, SC"
Dunhill Professional Search,1 to 50 employees,Company - Private,Staffing & Outsourcing,"Wilmington, NC"
Smithfield,10000+ employees,Subsidiary or Business Segment,Food & Beverage Manufacturing,"Smithfield, VA"
Booz Allen Hamilton,10000+ employees,Company - Public,Consulting,"Mc Lean, VA"
EVMS,501 to 1000 employees,Company - Private,Vehicle Dealers,"Chennai, India"
"Epsilon Systems Solutions, Inc.",501 to 1000 employees,Company - Private,Commercial Equipment Repair & Maintenance,"San Diego, CA"
Oasis Systems,1001 to 5000 employees,Company - Private,IT Services,"Burlington, MA"
Counter Threat Solutions,51 to 200 employees,Company - Private,Consulting,"Reston, VA"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
ITA International,201 to 500 employees,Company - Public,Accounting,"Yorktown, VA"
Oasis Systems,1001 to 5000 employees,Company - Private,IT Services,"Burlington, MA"
"Orbis, Inc.",201 to 500 employees,Company - Private,Architectural & Engineering Services,"Charleston, SC"
Liberty Source,51 to 200 employees,Company - Private,Staffing & Outsourcing,"Fort Monroe, VA"
"Oasis Systems, LLC",1001 to 5000 employees,Company - Private,IT Services,"Burlington, MA"
National Capitol Contracting (NCC),51 to 200 employees,Company - Private,Telecommunications Services,"Mc Lean, VA"
Occam Solutions Inc,1 to 50 employees,Company - Private,Consulting,"Herndon, VA"
Analytical Mechanics Associates,201 to 500 employees,Company - Private,Consulting,"Hampton, VA"
"GStek, Inc.",201 to 500 employees,Company - Private,Aerospace & Defense,"Chesapeake, VA"
"Orbis, Inc.",201 to 500 employees,Company - Private,Architectural & Engineering Services,"Charleston, SC"
Oasis Systems,1001 to 5000 employees,Company - Private,IT Services,"Burlington, MA"
CBRE,10000+ employees,Company - Public,Real Estate,"Los Angeles, CA"
Analytical Mechanics Associates,201 to 500 employees,Company - Private,Consulting,"Hampton, VA"
Counter Threat Solutions,51 to 200 employees,Company - Private,Consulting,"Reston, VA"
National Capitol Contracting (NCC),51 to 200 employees,Company - Private,Telecommunications Services,"Mc Lean, VA"
Guidehouse,5001 to 10000 employees,Company - Private,Consulting,"Washington, DC"
AXSEUM Inc,51 to 200 employees,Company - Private,Consulting,"Alexandria, VA"
Guidehouse,5001 to 10000 employees,Company - Private,Consulting,"Washington, DC"
"Epsilon Systems Solutions, Inc.",501 to 1000 employees,Company - Private,Commercial Equipment Repair & Maintenance,"San Diego, CA"
CACI International,10000+ employees,Company - Public,Aerospace & Defense,"Arlington, VA"
PROSOFT,201 to 500 employees,Contract,IT Services,"Virginia Beach, VA"
FacilitySource,1001 to 5000 employees,Company - Public,Building & Personnel Services,"Phoenix, AZ"
Universal Consulting Services,201 to 500 employees,Company - Private,IT Services,"Fairfax, VA"
"Universal Consulting Services, Inc.",201 to 500 employees,Company - Private,IT Services,"Fairfax, VA"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
University of Florida,10000+ employees,College / University,Colleges & Universities,"Gainesville, FL"
AvMed Health Plans,501 to 1000 employees,Nonprofit Organization,Insurance Carriers,"Gainesville, FL"
Shands Jacksonville,1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,"Jacksonville, FL"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
Shands Jacksonville,1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,"Jacksonville, FL"
Stamps.com,1001 to 5000 employees,Company - Public,Computer Hardware & Software,"El Segundo, CA"
Headspace,201 to 500 employees,Company - Private,Internet,"Santa Monica, CA"
Neustar,1001 to 5000 employees,Company - Private,Internet,"Sterling, VA"
Wellth Inc.,1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,"New York, NY"
People Tree,1 to 50 employees,Self-employed,Staffing & Outsourcing,"Hermosa Beach, CA"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
First Professional Services,51 to 200 employees,Subsidiary or Business Segment,Internet,"Piscataway, NJ"
Steady,1 to 50 employees,Company - Private,Internet,"Atlanta, GA"
"ConsultNet, LLC",201 to 500 employees,Company - Private,Staffing & Outsourcing,"South Jordan, UT"
Signal Sciences,51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,"Culver City, CA"
Acumen,201 to 500 employees,Company - Private,Federal Agencies,"Burlingame, CA"
HireTalent,201 to 500 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
Dave,1 to 50 employees,Company - Private,Banks & Credit Unions,"Los Angeles, CA"
Lorven Technologies Inc,1 to 50 employees,Company - Private,Accounting,"Plainsboro, NJ"
Eleven Recruiting - CHURN,1 to 50 employees,Company - Private,IT Services,"Los Angeles, CA"
ICONMA,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Troy, MI"
Dot818,1 to 50 employees,Company - Private,Advertising & Marketing,"Glendale, CA"
DatamanUSA,51 to 200 employees,Company - Private,IT Services,"Centennial, CO"
Cedars-Sinai,10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,"Los Angeles, CA"
Robert Half,10000+ employees,Company - Public,Staffing & Outsourcing,"Menlo Park, CA"
Radiology Partners,1001 to 5000 employees,Company - Private,Health Care Services & Hospitals,"El Segundo, CA"
PeerStreet,51 to 200 employees,Company - Private,Real Estate,"El Segundo, CA"
PlayQ,51 to 200 employees,Company - Private,Video Games,"Santa Monica, CA"
Lucky Day,1 to 50 employees,Company - Private,Internet,"Los Angeles, CA"
Didi Hirsch Mental Health Services,201 to 500 employees,Nonprofit Organization,Health Care Services & Hospitals,"Culver City, CA"
Center For Policing Equity,51 to 200 employees,Nonprofit Organization,Colleges & Universities,"New York, NY"
Human Good,1 to 50 employees,Company - Private,TV Broadcast & Cable Networks,"Vancouver, Canada"
Swinerton Builders,1001 to 5000 employees,Company - Private,Construction,"San Francisco, CA"
"Relevante, Inc.",51 to 200 employees,Company - Private,Consulting,"Berwyn, PA"
"iSpace, Inc",51 to 200 employees,Company - Private,IT Services,"El Segundo, CA"
Cedars-Sinai,10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,"Los Angeles, CA"
System1,201 to 500 employees,Company - Private,Internet,"Venice, CA"
Western Asset,501 to 1000 employees,Subsidiary or Business Segment,Investment Banking & Asset Management,"Pasadena, CA"
Hulu,1001 to 5000 employees,Company - Private,TV Broadcast & Cable Networks,"Santa Monica, CA"
Login Consulting Services,51 to 200 employees,Company - Private,Consulting,"El Segundo, CA"
University of Southern California,10000+ employees,College / University,Colleges & Universities,"Los Angeles, CA"
Delmarva Foundation,501 to 1000 employees,Nonprofit Organization,Consulting,"Easton, MD"
LiveGlam,51 to 200 employees,Company - Private,"Health, Beauty, & Fitness","Los Angeles, CA"
Warner Bros. Entertainment,5001 to 10000 employees,Company - Public,Motion Picture Production & Distribution,"Burbank, CA"
Cenergy,51 to 200 employees,Company - Private,Construction,"Milton, WV"
Electronic Arts,5001 to 10000 employees,Company - Public,Video Games,"Redwood City, CA"
Cedars-Sinai,10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,"Los Angeles, CA"
Capital Group,5001 to 10000 employees,Company - Private,Investment Banking & Asset Management,"Los Angeles, CA"
Turner Broadcasting,10000+ employees,Subsidiary or Business Segment,TV Broadcast & Cable Networks,"New York, NY"
AIDS Healthcare Foundation,1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,"Los Angeles, CA"
Lucky Day,1 to 50 employees,Company - Private,Internet,"Los Angeles, CA"
LACERA,201 to 500 employees,Government,Investment Banking & Asset Management,"Pasadena, CA"
Arize Corporation,201 to 500 employees,Company - Private,Publishing,"New York, NY"
Computershare,10000+ employees,Company - Public,Financial Transaction Processing,"Melbourne, Australia"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
Cenergy International,51 to 200 employees,Company - Private,Consulting,"Houston, TX"
Scale Media,1 to 50 employees,Company - Public,Advertising & Marketing,"Sherman Oaks, CA"
Acumen,201 to 500 employees,Company - Private,Federal Agencies,"Burlingame, CA"
Cedars-Sinai,10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,"Los Angeles, CA"
Mobilityware,51 to 200 employees,Company - Private,Video Games,"Irvine, CA"
Acorns,201 to 500 employees,Company - Private,Brokerage Services,"Irvine, CA"
L.A. Care Health Plan,1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,"Los Angeles, CA"
Superior Court of California County of Los Angeles,1001 to 5000 employees,Government,Municipal Governments,"Los Angeles, CA"
Tillster,51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,"San Diego, CA"
Tripalink,1 to 50 employees,Company - Public,Real Estate,"Los Angeles, CA"
TutorMe,51 to 200 employees,Subsidiary or Business Segment,Colleges & Universities,"Los Angeles, CA"
Century Group (CA),51 to 200 employees,Company - Private,Staffing & Outsourcing,"El Segundo, CA"
"Netflix, Inc.",1001 to 5000 employees,Company - Public,Internet,"Los Gatos, CA"
UC Davis Medical Center,10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,"Sacramento, CA"
Tarzana,501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,"Tarzana, CA"
STAND 8 Technology Services,51 to 200 employees,Company - Private,Consulting,"Los Angeles, CA"
Internet Brands,1001 to 5000 employees,Company - Private,Internet,"El Segundo, CA"
Robert Half,10000+ employees,Company - Public,Staffing & Outsourcing,"Menlo Park, CA"
Fox Corporation,5001 to 10000 employees,Company - Public,TV Broadcast & Cable Networks,"New York, NY"
PUBG Santa Monica,501 to 1000 employees,Company - Private,Video Games,"Seoul, South Korea"
UCLA Health,5001 to 10000 employees,Company - Public,Health Care Services & Hospitals,"Los Angeles, CA"
Robert Half,10000+ employees,Company - Public,Staffing & Outsourcing,"Menlo Park, CA"
Activision Blizzard,10000+ employees,Company - Public,Video Games,"Santa Monica, CA"
The Loot Company,201 to 500 employees,Company - Private,Other Retail Stores,"Los Angeles, CA"
System1,201 to 500 employees,Company - Private,Internet,"Venice, CA"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
Kaiser Permanente,10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,"Oakland, CA"
ZS Associates,5001 to 10000 employees,Company - Private,Consulting,"Evanston, IL"
Tecolote Research,501 to 1000 employees,Company - Private,Aerospace & Defense,"Goleta, CA"
City National Bank,1001 to 5000 employees,Subsidiary or Business Segment,Banks & Credit Unions,"Los Angeles, CA"
Cypress HCM,51 to 200 employees,Company - Private,Staffing & Outsourcing,"Walnut Creek, CA"
City National Bank,1001 to 5000 employees,Subsidiary or Business Segment,Banks & Credit Unions,"Los Angeles, CA"
"Internet Brands, Inc.",1001 to 5000 employees,Company - Private,Internet,"El Segundo, CA"
Kforce,10000+ employees,Company - Public,Staffing & Outsourcing,"Tampa, FL"
Turner Broadcasting,10000+ employees,Subsidiary or Business Segment,TV Broadcast & Cable Networks,"New York, NY"
Molina Healthcare,10000+ employees,Company - Public,Insurance Carriers,"Long Beach, CA"
Beautycounter,201 to 500 employees,Company - Private,"Health, Beauty, & Fitness","Santa Monica, CA"
Genuent,201 to 500 employees,Company - Private,Staffing & Outsourcing,"Houston, TX"
IBM,10000+ employees,Company - Public,IT Services,"Armonk, NY"
The Wonderful Company LLC,5001 to 10000 employees,Company - Private,Consumer Products Manufacturing,"Los Angeles, CA"
Akraya Inc.,51 to 200 employees,Company - Private,Staffing & Outsourcing,"Santa Clara, CA"
TikTok,1001 to 5000 employees,Company - Private,Internet,"Los Angeles, CA"
MotorTrend Group,501 to 1000 employees,Company - Public,TV Broadcast & Cable Networks,"Los Angeles, CA"
Mercury Insurance Group,1001 to 5000 employees,Company - Public,Insurance Carriers,"Los Angeles, CA"
Molina Healthcare,10000+ employees,Company - Public,Insurance Carriers,"Long Beach, CA"
Tripalink,1 to 50 employees,Company - Public,Real Estate,"Los Angeles, CA"
Ajilon,1001 to 5000 employees,Company - Public,Staffing & Outsourcing,"Jacksonville, FL"
Prosum,201 to 500 employees,Company - Private,IT Services,"El Segundo, CA"
Saicon Consultants Inc,201 to 500 employees,Company - Private,Computer Hardware & Software,"Overland Park, KS"
"Prime MSO, LLC.",1 to 50 employees,Company - Private,Health Care Services & Hospitals,"Dayton, OH"
KORE1 Technologies,51 to 200 employees,Company - Private,Staffing & Outsourcing,"Irvine, CA"
Axelon Services Corporation,501 to 1000 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
City National Corporation,1001 to 5000 employees,Subsidiary or Business Segment,Banks & Credit Unions,"Los Angeles, CA"
Pddn,51 to 200 employees,Company - Private,"Health, Beauty, & Fitness","Fremont, CA"
Northrop Grumman,10000+ employees,Company - Public,Aerospace & Defense,"Falls Church, VA"
"ConsultNet, LLC",201 to 500 employees,Company - Private,Staffing & Outsourcing,"South Jordan, UT"
"Aviana Global Technologies, Inc",1 to 50 employees,Company - Private,IT Services,"Brea, CA"
Jam City,501 to 1000 employees,Company - Private,Video Games,"Los Angeles, CA"
Apple,10000+ employees,Company - Public,Computer Hardware & Software,"Cupertino, CA"
"EMINENT, INC.",1 to 50 employees,Company - Private,IT Services,"Williamsville, NY"
Dollar Shave Club,201 to 500 employees,Company - Private,Beauty & Personal Accessories Stores,"Marina del Rey, CA"
TikTok,1001 to 5000 employees,Company - Private,Internet,"Los Angeles, CA"
City National Bank,1001 to 5000 employees,Subsidiary or Business Segment,Banks & Credit Unions,"Los Angeles, CA"
"U.S. Auto Parts Network, Inc.",1001 to 5000 employees,Company - Public,Automotive Parts & Accessories Stores,"Carson, CA"
MyLife.com,1 to 50 employees,Company - Private,Internet,"Los Angeles, CA"
Molina Healthcare,10000+ employees,Company - Public,Insurance Carriers,"Long Beach, CA"
DISQO,51 to 200 employees,Company - Private,Research & Development,"Glendale, CA"
Tech Air,201 to 500 employees,Company - Private,Industrial Manufacturing,"Danbury, CT"
Network Medical Management Inc,501 to 1000 employees,Company - Public,Health Care Services & Hospitals,"Alhambra, CA"
Midcom,51 to 200 employees,Company - Private,Consulting,"Anaheim, CA"
Odesus,51 to 200 employees,Company - Private,Consulting,"Los Angeles, CA"
Login Consulting Services,51 to 200 employees,Company - Private,Consulting,"El Segundo, CA"
Unilever,10000+ employees,Company - Public,Consumer Products Manufacturing,"London, United Kingdom"
Blue Shield of California,5001 to 10000 employees,Nonprofit Organization,Insurance Carriers,"Oakland, CA"
Airgas,10000+ employees,Company - Public,Chemical Manufacturing,"Radnor, PA"
Apollo Global Management,1001 to 5000 employees,Company - Public,Venture Capital & Private Equity,"New York, NY"
Revolve,201 to 500 employees,Company - Public,"Department, Clothing, & Shoe Stores","Cerritos, CA"
KIPP SoCal Public Schools,1001 to 5000 employees,Nonprofit Organization,K-12 Education,"Los Angeles, CA"
Genuent,201 to 500 employees,Company - Private,Staffing & Outsourcing,"Houston, TX"
Apollo Global Management,1001 to 5000 employees,Company - Public,Venture Capital & Private Equity,"New York, NY"
SCAN Health Plan,501 to 1000 employees,Nonprofit Organization,Insurance Carriers,"Long Beach, CA"
PlayQ,51 to 200 employees,Company - Private,Video Games,"Santa Monica, CA"
Molina Healthcare,10000+ employees,Company - Public,Insurance Carriers,"Long Beach, CA"
"NetSource, Inc.",51 to 200 employees,Company - Private,Consumer Products Manufacturing,"Bolton, CT"
"Quinn Group, Inc.",501 to 1000 employees,Company - Private,Commercial Equipment Repair & Maintenance,"City of Industry, CA"
Pacific Clinics,501 to 1000 employees,Nonprofit Organization,Health Care Services & Hospitals,"Arcadia, CA"
LaBine & Associates,1 to 50 employees,Company - Private,Staffing & Outsourcing,"San Mateo, CA"
Quinn Company CAT,501 to 1000 employees,Company - Private,Commercial Equipment Repair & Maintenance,"City of Industry, CA"
"NTT DATA, Inc.",201 to 500 employees,Company - Private,Accounting,"Singapore, Singapore"
SCAN Health Plan,501 to 1000 employees,Nonprofit Organization,Insurance Carriers,"Long Beach, CA"
AppleOne,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Glendale, CA"
Login Consulting Services,51 to 200 employees,Company - Private,Consulting,"El Segundo, CA"
Lorven Technologies Inc,1 to 50 employees,Company - Private,Accounting,"Plainsboro, NJ"
Blue Shield of California,5001 to 10000 employees,Nonprofit Organization,Insurance Carriers,"Oakland, CA"
Information Technology Partners,51 to 200 employees,Company - Private,IT Services,"Chicago, IL"
Warner Bros. Entertainment,5001 to 10000 employees,Company - Public,Motion Picture Production & Distribution,"Burbank, CA"
Providence Health & Services,10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,"Renton, WA"
Molina Healthcare,10000+ employees,Company - Public,Insurance Carriers,"Long Beach, CA"
Molina Healthcare,10000+ employees,Company - Public,Insurance Carriers,"Long Beach, CA"
Turner Broadcasting,10000+ employees,Subsidiary or Business Segment,TV Broadcast & Cable Networks,"New York, NY"
AppleOne,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Glendale, CA"
USDM Life Sciences,201 to 500 employees,Company - Private,Consulting,"Santa Barbara, CA"
SkillsetGroup - Professional Staffing Solutions,1 to 50 employees,Company - Private,Staffing & Outsourcing,"San Clemente, CA"
PIH Health,5001 to 10000 employees,Nonprofit Organization,Health Care Services & Hospitals,"Whittier, CA"
TikTok,1001 to 5000 employees,Company - Private,Internet,"Los Angeles, CA"
Mercury Insurance Group,1001 to 5000 employees,Company - Public,Insurance Carriers,"Los Angeles, CA"
Wintrust Financial,1001 to 5000 employees,Company - Public,Banks & Credit Unions,"Rosemont, IL"
NCSA - Next College Student Athlete,501 to 1000 employees,Company - Private,Sports & Recreation,"Chicago, IL"
Riskonnect,201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,"Kennesaw, GA"
Centric Consulting,501 to 1000 employees,Company - Private,Consulting,"Dayton, OH"
GoHealth,501 to 1000 employees,Company - Private,Health Care Services & Hospitals,"Chicago, IL"
Kelly,5001 to 10000 employees,Company - Public,Staffing & Outsourcing,"Troy, MI"
Kelly,5001 to 10000 employees,Company - Public,Staffing & Outsourcing,"Troy, MI"
Undertone,201 to 500 employees,Subsidiary or Business Segment,Advertising & Marketing,"New York, NY"
Mike's Hard Lemonade,201 to 500 employees,Company - Private,Food & Beverage Manufacturing,"Chicago, IL"
Allscripts,5001 to 10000 employees,Company - Public,Computer Hardware & Software,"Chicago, IL"
Circle Logistics,201 to 500 employees,Company - Private,Transportation Management,"Fort Wayne, IN"
University of Chicago,10000+ employees,College / University,Colleges & Universities,"Chicago, IL"
Mondo,51 to 200 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
Swoon,201 to 500 employees,Company - Private,Staffing & Outsourcing,"Chicago, IL"
Swoon,201 to 500 employees,Company - Private,Staffing & Outsourcing,"Chicago, IL"
Bosch Group,10000+ employees,Company - Private,Miscellaneous Manufacturing,"Farmington Hills, MI"
Tempus,51 to 200 employees,Company - Private,Financial Transaction Processing,"Washington, DC"
Feeding America,51 to 200 employees,Nonprofit Organization,Social Assistance,"Chicago, IL"
CRS Group,51 to 200 employees,Company - Private,Staffing & Outsourcing,"Itasca, IL"
Peterson Technology Partners,201 to 500 employees,Contract,Computer Hardware & Software,"Park Ridge, IL"
BMO,10000+ employees,Subsidiary or Business Segment,Banks & Credit Unions,"Chicago, IL"
AppleOne,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Glendale, CA"
Robert Bosch Tool Corporation,1001 to 5000 employees,Subsidiary or Business Segment,Consumer Products Manufacturing,"Mount Prospect, IL"
Chicago Public Schools,10000+ employees,School / School District,K-12 Education,"Chicago, IL"
Chicago,10000+ employees,Government,Municipal Governments,"Chicago, IL"
Guggenheim Partners,1001 to 5000 employees,Private Practice / Firm,Investment Banking & Asset Management,"Chicago, IL"
Milliman,1001 to 5000 employees,Company - Private,Consulting,"Seattle, WA"
BMO Financial Group,10000+ employees,Company - Public,Banks & Credit Unions,"Toronto, Canada"
BMO,10000+ employees,Subsidiary or Business Segment,Banks & Credit Unions,"Chicago, IL"
UST Global,10000+ employees,Company - Private,IT Services,"Aliso Viejo, CA"
First Stop Health,1 to 50 employees,Company - Private,Health Care Services & Hospitals,"Chicago, IL"
MeadWestVaco,10000+ employees,Company - Public,Miscellaneous Manufacturing,"Atlanta, GA"
Care Advisors Inc,1 to 50 employees,Company - Private,Computer Hardware & Software,"Chicago, IL"
Ann & Robert H. Lurie Children's Hospital of Chicago,1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,"Chicago, IL"
"TEKsystems, Inc",1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,"Hanover, MD"
HNI,5001 to 10000 employees,Company - Public,Consumer Products Manufacturing,"Muscatine, IA"
SkySource Solutions,1 to 50 employees,Company - Public,Staffing & Outsourcing,"Berea, OH"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
Flexport,1001 to 5000 employees,Company - Private,Logistics & Supply Chain,"San Francisco, CA"
Randstad,1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,"Atlanta, GA"
Lantana Consulting Group,1 to 50 employees,Company - Private,Consulting,"East Thetford, VT"
"Level Ex, Inc.",51 to 200 employees,Company - Private,Video Games,"Chicago, IL"
Chicago Teachers Pension Fund,201 to 500 employees,Government,Municipal Governments,"Chicago, IL"
Diverse Lynx,501 to 1000 employees,Company - Private,IT Services,"Princeton, NJ"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
CRS Group,51 to 200 employees,Company - Private,Staffing & Outsourcing,"Itasca, IL"
