Company Name,Job Title,Average Salary,Industry,Location,Min Salary,Max Salary
Hulu,"Senior Data Analyst, Data Insights",53.5,TV Broadcast & Cable Networks,"Santa Monica, CA",37,70
Login Consulting Services,Data Analyst,53.5,Consulting,"El Segundo, CA",37,70
University of Southern California,Workday Technical Analyst- Data Conversions,53.5,Colleges & Universities,"Los Angeles, CA",37,70
Delmarva Foundation,Data Analyst Healthcare - Experienced or Entry Level,53.5,Consulting,"Cerritos, CA",37,70
LiveGlam,Woocommerce Data Governance Analyst,53.5,"Health, Beauty, & Fitness","Los Angeles, CA",37,70
Warner Bros. Entertainment,"Analyst, Data Operations",53.5,Motion Picture Production & Distribution,"Burbank, CA",37,70
Cenergy,Data Analyst,53.5,Construction,"Irwindale, CA",37,70
Electronic Arts,Data Analyst (Apex Legends),53.5,Video Games,"Los Angeles, CA",37,70
Cedars-Sinai,Data Intelligence Analyst II ( Epic Certification Required ),53.5,Health Care Services & Hospitals,"Los Angeles, CA",37,70
Capital Group,Market Data Analyst,53.5,Investment Banking & Asset Management,"Los Angeles, CA",37,70
Turner Broadcasting,"Sr Analyst, Data Operations",53.5,TV Broadcast & Cable Networks,"Burbank, CA",37,70
AIDS Healthcare Foundation,Data Analyst (Ryan White),53.5,Health Care Services & Hospitals,"Los Angeles, CA",37,70
Lucky Day,Senior Data Analyst,53.5,Internet,"Los Angeles, CA",37,70
LACERA,"Data System Analyst I, LACERA (Senior Java Developer)",53.5,Investment Banking & Asset Management,"Pasadena, CA",37,70
Arize Corporation,Data Analyst,53.5,Publishing,"Anaheim, CA",37,70
Computershare,Data Analyst,53.5,Financial Transaction Processing,"El Segundo, CA",37,70
"Staffigo Technical Services, LLC",Junior Data Analyst,53.5,IT Services,"Los Angeles, CA",37,70
Cenergy International,Data Analyst,80.0,Consulting,"Irwindale, CA",57,103
Scale Media,Marketing Data Analyst,80.0,Advertising & Marketing,"Los Angeles, CA",57,103
Acumen,Data and Policy Analyst - Writer/Coordinator,80.0,Federal Agencies,"Los Angeles, CA",57,103
Cedars-Sinai,Sr. Data/Report System Analyst,80.0,Health Care Services & Hospitals,"Beverly Hills, CA",57,103
Mobilityware,Senior Data Analyst,80.0,Video Games,"Los Angeles, CA",57,103
Acorns,Data Analyst,80.0,Brokerage Services,"Anaheim, CA",57,103
L.A. Care Health Plan,Data Analyst I,80.0,Health Care Services & Hospitals,"Los Angeles, CA",57,103
Superior Court of California County of Los Angeles,Senior Data Analyst,80.0,Municipal Governments,"Los Angeles, CA",57,103
Tillster,Senior Data Analyst,80.0,Enterprise Software & Network Solutions,"Los Angeles, CA",57,103
Tripalink,Billingual Chinese - Data Analyst,80.0,Real Estate,"Los Angeles, CA",57,103
TutorMe,Senior Data Analyst,80.0,Colleges & Universities,"Los Angeles, CA",57,103
Century Group (CA),Reporting Data Analyst,80.0,Staffing & Outsourcing,"El Segundo, CA",57,103
"Netflix, Inc.",Public Policy Data Analyst,80.0,Internet,"Los Angeles, CA",57,103
UC Davis Medical Center,Epidemiologist Data Analyst-Urology,80.0,Health Care Services & Hospitals,"Los Angeles, CA",57,103
Tarzana,Data Analyst I,80.0,Biotech & Pharmaceuticals,"Northridge, CA",57,103
STAND 8 Technology Services,Data Systems Analyst,80.0,Consulting,"Los Angeles, CA",57,103
Internet Brands,"Data Analyst, Predictive Analytics",80.0,Internet,"Los Angeles, CA",57,103
Robert Half,Data Reporting Analyst,80.0,Staffing & Outsourcing,"Los Angeles, CA",57,103
Fox Corporation,Senior Data Analyst,80.0,TV Broadcast & Cable Networks,"Los Angeles, CA",57,103
PUBG Santa Monica,Business Data Analyst,80.0,Video Games,"Los Angeles, CA",57,103
UCLA Health,Epidemiologist Data Analyst-Urology,80.0,Health Care Services & Hospitals,"Los Angeles, CA",57,103
Robert Half,Mid-Senior Data Analyst,80.0,Staffing & Outsourcing,"Los Angeles, CA",57,103
Activision Blizzard,Associate Player Support Data Analyst,80.0,Video Games,"El Segundo, CA",57,103
The Loot Company,BI/Data Analyst,80.0,Other Retail Stores,"Los Angeles, CA",57,103
System1,"Sr. Data Analyst, Ad Operations",80.0,Internet,"Venice, CA",57,103
"Staffigo Technical Services, LLC",Data Analyst Junior,40.0,IT Services,"Los Angeles, CA",35,45
Kaiser Permanente,Research Sr. Data Analyst - Kaiser Permanente Bernard J. Tyson School of Medicine,40.0,Health Care Services & Hospitals,"Pasadena, CA",35,45
ZS Associates,"Senior Business Technology Analyst - Big Data (Los Angeles area, CA)",40.0,Consulting,"Los Angeles, CA",35,45
Tecolote Research,Financial Data Analyst,40.0,Aerospace & Defense,"El Segundo, CA",35,45
City National Bank,Enterprise Data Quality Analyst - EDM,40.0,Banks & Credit Unions,"Los Angeles, CA",35,45
Cypress HCM,Survey Data Analyst,40.0,Staffing & Outsourcing,"Los Angeles, CA",35,45
City National Bank,Enterprise Data Analyst,40.0,Banks & Credit Unions,"Los Angeles, CA",35,45
"Internet Brands, Inc.",Data Analyst - Personalization,40.0,Internet,"Los Angeles, CA",35,45
Kforce,Data Analyst / Developer,40.0,Staffing & Outsourcing,"Los Angeles, CA",35,45
Turner Broadcasting,"Operations Analyst, Data Governance",40.0,TV Broadcast & Cable Networks,"Burbank, CA",35,45
Molina Healthcare,"Analyst, Data (Pharmacy & SQL)",40.0,Insurance Carriers,"Long Beach, CA",35,45
Beautycounter,"Sr. Business Analyst, Data Science and Analytics",40.0,"Health, Beauty, & Fitness","Santa Monica, CA",35,45
Genuent,Enterprise Data Quality Analyst - EDM,40.0,Staffing & Outsourcing,"Los Angeles, CA",35,45
IBM,Microsoft Dynamics CRM Data Analyst,40.0,IT Services,"Los Angeles, CA",35,45
The Wonderful Company LLC,"Marketing Data Analyst, Teleflora",40.0,Consumer Products Manufacturing,"Los Angeles, CA",35,45
Akraya Inc.,Senior Customer Data Analyst : 20,40.0,Staffing & Outsourcing,"Los Angeles, CA",35,45
TikTok,Senior Data Analyst - User Growth,40.0,Internet,"Los Angeles, CA",35,45
MotorTrend Group,Automotive Data Analyst,40.0,TV Broadcast & Cable Networks,"El Segundo, CA",35,45
Mercury Insurance Group,Data Analyst - Product,40.0,Insurance Carriers,"Brea, CA",35,45
Molina Healthcare,"Sr. Analyst, Data",40.0,Insurance Carriers,"Long Beach, CA",35,45
Tripalink,Bilingual (Chinese) Data Analyst,54.0,Real Estate,"Los Angeles, CA",42,66
Ajilon,Data Entry Analyst,54.0,Staffing & Outsourcing,"Woodland Hills, CA",42,66
Prosum,Data Intelligence Analyst II,54.0,IT Services,"Los Angeles, CA",42,66
Saicon Consultants Inc,Sr. Data Analyst,54.0,Computer Hardware & Software,"Burbank, CA",42,66
"Prime MSO, LLC.",Jr. Data Analyst (Jr. DA),54.0,Health Care Services & Hospitals,"Glendale, CA",42,66
KORE1 Technologies,Sr. Business Data Analyst,54.0,Staffing & Outsourcing,"Santa Monica, CA",42,66
Axelon Services Corporation,Data Reporting Analyst,54.0,Staffing & Outsourcing,"Pasadena, CA",42,66
City National Corporation,Pricing Data Analyst,54.0,Banks & Credit Unions,"Los Angeles, CA",42,66
Pddn,Senior Data Engineer & Analyst,54.0,"Health, Beauty, & Fitness","Pasadena, CA",42,66
Northrop Grumman,Principal Data Management Analyst,54.0,Aerospace & Defense,"Woodland Hills, CA",42,66
"ConsultNet, LLC",Sr. Data Analyst,54.0,Staffing & Outsourcing,"Burbank, CA",42,66
"Aviana Global Technologies, Inc",Sr Data Analyst (DW),54.0,IT Services,"Los Angeles, CA",42,66
Jam City,"Data Analyst, Product",54.0,Video Games,"Culver City, CA",42,66
Apple,"Digital Media Data Analyst, Apple TV+",54.0,Computer Hardware & Software,"Culver City, CA",42,66
"EMINENT, INC.",Data Intelligence Analyst,54.0,IT Services,"Cerritos, CA",42,66
Dollar Shave Club,Sr. Data Analyst,54.0,Beauty & Personal Accessories Stores,"Marina del Rey, CA",42,66
TikTok,Senior Data Analyst,54.0,Internet,"Culver City, CA",42,66
City National Bank,Heightened Standards Data Analyst,54.0,Banks & Credit Unions,"Beverly Hills, CA",42,66
"U.S. Auto Parts Network, Inc.",Corporate: Data Analyst,54.0,Automotive Parts & Accessories Stores,"Torrance, CA",42,66
MyLife.com,Sr Data Analyst,54.0,Internet,"Los Angeles, CA",42,66
Molina Healthcare,"Analyst, Data",54.0,Insurance Carriers,"Long Beach, CA",42,66
DISQO,Senior Data Analyst,73.0,Research & Development,"Glendale, CA",65,81
Tech Air,Junior Data Analyst,73.0,Industrial Manufacturing,"Long Beach, CA",65,81
Network Medical Management Inc,SENIOR DATA BI ANALYST,73.0,Health Care Services & Hospitals,"Alhambra, CA",65,81
Midcom,Data Analyst - MS Access & Excel,73.0,Consulting,"Azusa, CA",65,81
Odesus,Data Analyst (Asset Management / eDiscovery),73.0,Consulting,"Burbank, CA",65,81
Login Consulting Services,Jr. Data Analyst,73.0,Consulting,"El Segundo, CA",65,81
Unilever,Sr. Data Analyst,73.0,Consumer Products Manufacturing,"Marina del Rey, CA",65,81
Blue Shield of California,"Data Analyst - Health, Experienced",73.0,Insurance Carriers,"Woodland Hills, CA",65,81
Airgas,Junior Data Analyst,73.0,Chemical Manufacturing,"Long Beach, CA",65,81
Apollo Global Management,Reporting Data Analyst,73.0,Venture Capital & Private Equity,"El Segundo, CA",65,81
Revolve,Data Intelligence Analyst,73.0,"Department, Clothing, & Shoe Stores","Cerritos, CA",65,81
KIPP SoCal Public Schools,Student Data Compliance Analyst,73.0,K-12 Education,"Los Angeles, CA",65,81
Genuent,Data Quality Control Analyst,73.0,Staffing & Outsourcing,"Glendale, CA",65,81
Apollo Global Management,Senior Data Management Analyst,73.0,Venture Capital & Private Equity,"El Segundo, CA",65,81
SCAN Health Plan,Data Analyst HEDIS Star,73.0,Insurance Carriers,"Long Beach, CA",65,81
PlayQ,Senior Data Analyst,73.0,Video Games,"Santa Monica, CA",65,81
Molina Healthcare,Sr. Data Analyst,73.0,Insurance Carriers,"Long Beach, CA",65,81
"NetSource, Inc.",SAP Master Data Analyst,73.0,Consumer Products Manufacturing,"Los Angeles, CA",65,81
"Quinn Group, Inc.",Service Operations Data Analyst,73.0,Commercial Equipment Repair & Maintenance,"City of Industry, CA",65,81
Pacific Clinics,System and Data Analyst,122.5,Health Care Services & Hospitals,"Arcadia, CA",113,132
LaBine & Associates,Sr Digital Marketing Data Analyst (PAID SOCIAL),122.5,Staffing & Outsourcing,"Santa Monica, CA",113,132
Quinn Company CAT,19-0574 - Service Operations Data Analyst,122.5,Commercial Equipment Repair & Maintenance,"City of Industry, CA",113,132
"NTT DATA, Inc.",Discovery Data Analyst,122.5,Accounting,"Burbank, CA",113,132
SCAN Health Plan,Data Analyst-HEDIS & Star,122.5,Insurance Carriers,"Long Beach, CA",113,132
AppleOne,Music Copyright Data Analyst,122.5,Staffing & Outsourcing,"Woodland Hills, CA",113,132
Login Consulting Services,Sr. Data Analyst,122.5,Consulting,"El Segundo, CA",113,132
Lorven Technologies Inc,Sr. Data Governance Analyst,122.5,Accounting,"Arcadia, CA",113,132
Blue Shield of California,"Data Analyst - Health, Senior",122.5,Insurance Carriers,"Woodland Hills, CA",113,132
Information Technology Partners,Data Entry Clerk and Analyst - Financial,122.5,IT Services,"Burbank, CA",113,132
Warner Bros. Entertainment,"Analyst, Financial Master Data",122.5,Motion Picture Production & Distribution,"Burbank, CA",113,132
Providence Health & Services,Senior Clinical Data Analyst,122.5,Health Care Services & Hospitals,"Gardena, CA",113,132
Molina Healthcare,Sr. Data Analyst (Pharmacy),122.5,Insurance Carriers,"Long Beach, CA",113,132
Molina Healthcare,"Sr Analyst, Data",122.5,Insurance Carriers,"Long Beach, CA",113,132
Turner Broadcasting,"Analyst, Financial Master Data",122.5,TV Broadcast & Cable Networks,"Burbank, CA",113,132
AppleOne,Copyright Data Analyst,122.5,Staffing & Outsourcing,"Woodland Hills, CA",113,132
USDM Life Sciences,LIMS Master Data Analyst,122.5,Consulting,"Santa Monica, CA",113,132
SkillsetGroup - Professional Staffing Solutions,Data Analyst *Temp-Hire*,122.5,Staffing & Outsourcing,"Pico Rivera, CA",113,132
PIH Health,"QM DATA ANALYST II, WHITTIER, FULL TIME DAYS",122.5,Health Care Services & Hospitals,"Whittier, CA",113,132
TikTok,Sr. Data Analyst — US Safety,122.5,Internet,"Los Angeles, CA",113,132
Mercury Insurance Group,Data Analyst - Marketing Analytics,122.5,Insurance Carriers,"Brea, CA",113,132
Wintrust Financial,Data Analyst,63.0,Banks & Credit Unions,"Chicago, IL",60,66
NCSA - Next College Student Athlete,Data Analyst,63.0,Sports & Recreation,"Chicago, IL",60,66
Riskonnect,Data Analyst,63.0,Enterprise Software & Network Solutions,"Chicago, IL",60,66
Centric Consulting,Data Transformation Analyst,63.0,Consulting,"Chicago, IL",60,66
GoHealth,Data Analyst,63.0,Health Care Services & Hospitals,"Chicago, IL",60,66
Kelly,Jr. Data Analyst,63.0,Staffing & Outsourcing,"Downers Grove, IL",60,66
Kelly,Urgent Need - Data Analyst,63.0,Staffing & Outsourcing,"Chicago, IL",60,66
Undertone,Data Analyst,63.0,Advertising & Marketing,"Chicago, IL",60,66
Mike's Hard Lemonade,Business Systems & Data Analyst,63.0,Food & Beverage Manufacturing,"Chicago, IL",60,66
Allscripts,Healthcare Data Analyst - Remote,63.0,Computer Hardware & Software,"Chicago, IL",60,66
Circle Logistics,Junior Data Analyst,63.0,Transportation Management,"Chicago, IL",60,66
University of Chicago,Data Analyst,63.0,Colleges & Universities,"Chicago, IL",60,66
Mondo,Product Data Analyst,63.0,Staffing & Outsourcing,"Chicago, IL",60,66
Swoon,Data Analyst (Junior),63.0,Staffing & Outsourcing,"Downers Grove, IL",60,66
Swoon,Data Analyst,63.0,Staffing & Outsourcing,"Downers Grove, IL",60,66
Bosch Group,Associate Marketing Data Analyst,63.0,Miscellaneous Manufacturing,"Broadview, IL",60,66
Tempus,Outsights Data Analyst,63.0,Financial Transaction Processing,"Chicago, IL",60,66
Feeding America,Business Data Analyst,63.0,Social Assistance,"Chicago, IL",60,66
CRS Group,Data Analyst,63.0,Staffing & Outsourcing,"Chicago, IL",60,66
Peterson Technology Partners,Data Analyst,63.0,Computer Hardware & Software,"Chicago, IL",60,66
BMO,Data Analyst,63.0,Banks & Credit Unions,"Chicago, IL",60,66
AppleOne,Data Analyst - Excel,63.0,Staffing & Outsourcing,"Downers Grove, IL",60,66
Robert Bosch Tool Corporation,Associate Marketing Data Analyst,63.0,Consumer Products Manufacturing,"Broadview, IL",60,66
Chicago Public Schools,Data Analyst,63.0,K-12 Education,"Chicago, IL",60,66
Chicago,Data Integrity Analyst,63.0,Municipal Governments,"Chicago, IL",60,66
Guggenheim Partners,Data Integrity Analyst,63.0,Investment Banking & Asset Management,"Chicago, IL",60,66
Milliman,Data Analyst - IntelliScript,63.0,Consulting,"Chicago, IL",60,66
BMO Financial Group,Data Analyst,63.0,Banks & Credit Unions,"Chicago, IL",60,66
BMO,Reporting and Data Analyst - (North American Collections Analytics for Data and Analytics),63.0,Banks & Credit Unions,"Chicago, IL",60,66
UST Global,Data Analyst,77.5,IT Services,"Chicago, IL",73,82
First Stop Health,Lead Data Analyst,77.5,Health Care Services & Hospitals,"Chicago, IL",73,82
MeadWestVaco,Manufacturing Data Analyst,77.5,Miscellaneous Manufacturing,"Woodridge, IL",73,82
Care Advisors Inc,Data Analyst,77.5,Computer Hardware & Software,"Chicago, IL",73,82
Ann & Robert H. Lurie Children's Hospital of Chicago,Data Analyst,77.5,Health Care Services & Hospitals,"Chicago, IL",73,82
"TEKsystems, Inc",Data Analyst,77.5,Staffing & Outsourcing,"Chicago, IL",73,82
HNI,Senior Data Analyst,77.5,Consumer Products Manufacturing,"Chicago, IL",73,82
SkySource Solutions,Data Analyst,77.5,Staffing & Outsourcing,"Downers Grove, IL",73,82
"Staffigo Technical Services, LLC",Junior Data Analyst,77.5,IT Services,"Chicago, IL",73,82
Flexport,Senior Data Analyst,77.5,Logistics & Supply Chain,"Chicago, IL",73,82
Randstad,Data Analyst,77.5,Staffing & Outsourcing,"Downers Grove, IL",73,82
Lantana Consulting Group,Public Health Data Visualization Analyst,77.5,Consulting,"Chicago, IL",73,82
"Level Ex, Inc.",Data Analyst,77.5,Video Games,"Chicago, IL",73,82
Chicago Teachers Pension Fund,Data Quality Analyst,77.5,Municipal Governments,"Chicago, IL",73,82
Diverse Lynx,Data Analyst,77.5,IT Services,"Chicago, IL",73,82
"Staffigo Technical Services, LLC",Data Analyst,77.5,IT Services,"Chicago, IL",73,82
CRS Group,Provider Analytics Data Analyst,77.5,Staffing & Outsourcing,"Chicago, IL",73,82
Chicago Public Schools,CSI Data Analyst,77.5,K-12 Education,"Chicago, IL",73,82
Tempus Labs,Outsights Data Analyst,77.5,Biotech & Pharmaceuticals,"Chicago, IL",73,82
VIVA USA INC,Provider Analytics Data Analyst,77.5,IT Services,"Chicago, IL",73,82
360pi,Senior Data Analyst,77.5,Enterprise Software & Network Solutions,"Chicago, IL",73,82
"TEKsystems, Inc",Data Governance Analyst,77.5,Staffing & Outsourcing,"Chicago, IL",73,82
Leap,Senior Data Analyst,77.5,Social Assistance,"Chicago, IL",73,82
Braviant Holdings,"Senior Data Analyst, Business Intelligence",77.5,Lending,"Chicago, IL",73,82
Bartech Group,Data Analyst,79.5,Construction,"Burr Ridge, IL",67,92
Lorven Technologies Inc,Data Analyst,79.5,Accounting,"Chicago, IL",67,92
Rush University Medical Center,Data Analyst - Rush Infectious Diseases,79.5,Health Care Services & Hospitals,"Chicago, IL",67,92
TechUSA,Data Analyst,79.5,Staffing & Outsourcing,"Chicago, IL",67,92
Alliant Credit Union,Fair Lending Data Analyst,79.5,Banks & Credit Unions,"Rolling Meadows, IL",67,92
Green Key Resources,Data Analyst,79.5,Staffing & Outsourcing,"Chicago, IL",67,92
University of Chicago,Senior Research Data Analyst,79.5,Colleges & Universities,"Chicago, IL",67,92
Roig Lawyers,Data Analyst,79.5,Legal,"Deerfield, IL",67,92
"PrivateBancorp, Inc.",Data Management Analyst,79.5,Banks & Credit Unions,"Chicago, IL",67,92
PDI Software,Data Operations Analyst,79.5,Enterprise Software & Network Solutions,"Chicago, IL",67,92
TalentDash,Data Analyst,79.5,Enterprise Software & Network Solutions,"Chicago, IL",67,92
Invenergy,"Data Analyst, Operations Engineering",79.5,Energy,"Chicago, IL",67,92
EY,"Data Analyst, Tax (Affordable Care Act) (ACA) (Manager) (Multiple Positions)",79.5,Accounting,"Chicago, IL",67,92
WIN Home Inspection,Business Analyst / Data Analyst,79.5,Construction,"Chicago, IL",67,92
Ferrara Candy Company,Master Data Analyst,79.5,Food & Beverage Manufacturing,"Chicago, IL",67,92
The Accuro Group,BI Data Analyst,79.5,Staffing & Outsourcing,"Chicago, IL",67,92
BDP International,Data Quality Analyst,79.5,Logistics & Supply Chain,"Chicago, IL",67,92
Numerator,Senior Data Analyst,79.5,IT Services,"Chicago, IL",67,92
Mondo,Sr. Data Analyst,79.5,Staffing & Outsourcing,"Chicago, IL",67,92
Empire Today,Tableau Developer/Data Analyst,79.5,Other Retail Stores,"Northlake, IL",67,92
"Fast Switch, LTD",Data Analyst,79.5,IT Services,"Northbrook, IL",67,92
Sphinix Solutions,Data Analyst – Level II,79.5,IT Services,"Chicago, IL",67,92
BMO Financial Group,Reporting and Data Analyst - (North American Collections Analytics for Data and Analytics),79.5,Banks & Credit Unions,"Chicago, IL",67,92
Epiq Systems,Senior Data Analyst,79.5,Legal,"Chicago, IL",67,92
PEAK6 Investments,Senior Trading Systems Data Analyst (Chicago or NY),79.5,Venture Capital & Private Equity,"Chicago, IL",67,92
ABS Graphics,Data Analyst/Programmer,79.5,Advertising & Marketing,"Itasca, IL",67,92
Willis Towers Watson,Data Services Business Analyst 2,59.0,Consulting,"Chicago, IL",42,76
Kforce,Data Analyst,59.0,Staffing & Outsourcing,"Evanston, IL",42,76
The Chicago Lighthouse,Call Center Data Analyst,59.0,Social Assistance,"Chicago, IL",42,76
Genesys Talent,Data Analyst - 20,59.0,Staffing & Outsourcing,"Northbrook, IL",42,76
"Stampede Meat, Inc.",Data Analyst,59.0,Food & Beverage Manufacturing,"Bridgeview, IL",42,76
ALERE,Senior Global Data Analyst / Power BI Dashboard Developer,59.0,Biotech & Pharmaceuticals,"Chicago, IL",42,76
Kelly Mitchell Group,Data Analyst,59.0,Staffing & Outsourcing,"Downers Grove, IL",42,76
"TreeHouse Foods, Inc.",Logistics Data Analyst,59.0,Food & Beverage Manufacturing,"Oak Brook, IL",42,76
NJF Global Holdings,Data Production Analyst,59.0,Staffing & Outsourcing,"Chicago, IL",42,76
Chicago Public Schools,Senior Data Analyst,59.0,K-12 Education,"Chicago, IL",42,76
Sphinix Solutions,SAS Data Analyst,59.0,IT Services,"Chicago, IL",42,76
Net2Source,Data Analyst,59.0,Staffing & Outsourcing,"Northbrook, IL",42,76
Ongig,"Manufacturing Data Analyst - Woodridge, IL",59.0,Enterprise Software & Network Solutions,"Woodridge, IL",42,76
HIMSS,Senior Data Analyst,59.0,Health Care Services & Hospitals,"Chicago, IL",42,76
Flagstone Foods,Logistics Data Analyst,59.0,Catering & Food Service Contractors,"Oak Brook, IL",42,76
University of Illinois at Chicago,Visiting Undergraduate Affairs Data Analyst - Office of the Vice Provost for Undergraduate Affairs & Academic Programs,59.0,Colleges & Universities,"Chicago, IL",42,76
Northern Trust,Contract Analyst - Enterprise Market Data,59.0,Banks & Credit Unions,"Chicago, IL",42,76
Foresight ROI,Marketing Data Analyst - CPG,59.0,Advertising & Marketing,"Chicago, IL",42,76
LEARN Charter School,Senior Data Analyst,59.0,K-12 Education,"Chicago, IL",42,76
BankFinancial Corporation,Data Analyst / Business Lead Generation Specialist [Part-Time],59.0,Banks & Credit Unions,"Downers Grove, IL",42,76
Avani Technology Solutions,JPSC-5704 - Data Analyst,59.0,IT Services,"Chicago, IL",42,76
Chicago Public Schools,Workforce Data Analyst,59.0,K-12 Education,"Chicago, IL",42,76
"Staffigo Technical Services, LLC",Data Analyst Junior,59.0,IT Services,"Chicago, IL",42,76
Capital Management,Senior Trading Systems Data Analyst (Chicago or NY),59.0,Investment Banking & Asset Management,"Chicago, IL",42,76
Nuveen,"Sr Analyst, Distrib Data Eng",59.0,Investment Banking & Asset Management,"Chicago, IL",42,76
Maine Pointe,Data Analyst (Supply Chain) - May Reside Anywhere in the US - Up to 100% Travel,113.0,Consulting,"Chicago, IL",97,129
"Synchronous Solutions, Inc",SAS Data Analyst/Reports Writer,113.0,IT Services,"Chicago, IL",97,129
HR Pundits,Data Scientist - Sr. Analyst,113.0,Computer Hardware & Software,"Chicago, IL",97,129
Softpath System LLC,QA Analyst - DATA Base Exp,113.0,IT Services,"Chicago, IL",97,129
Trinity Health,Philanthropy Operations Associate - Data Analyst,113.0,Health Care Services & Hospitals,"Maywood, IL",97,129
Motorola Solutions,Financial Systems Lead Data and Reporting Analyst,113.0,Computer Hardware & Software,"Chicago, IL",97,129
Medline Industries,Data Entry and compliance Analyst,113.0,Health Care Products Manufacturing,"Northfield, IL",97,129
Capgemini,Lead Data Analyst,113.0,Enterprise Software & Network Solutions,"Chicago, IL",97,129
Tempus Labs,Senior Data Analyst Informatics,113.0,Biotech & Pharmaceuticals,"Chicago, IL",97,129
Signode,"ERP Data Migration Analyst in Glenview, IL at Signode",113.0,Industrial Manufacturing,"Glenview, IL",97,129
Cedent Consulting,Data Security Analytics Analyst,113.0,Consulting,"Chicago, IL",97,129
UI Health,Clinical Practice Data Analyst Specialist (Clinical Research Data Manager) Mile Square Main (Job ID,113.0,Health Care Services & Hospitals,"Chicago, IL",97,129
Robert Half,Data Analyst IV,113.0,Staffing & Outsourcing,"Chicago, IL",97,129
Jobot,"Sr. Data Analyst - Analytics, Marketing, CPG",113.0,Staffing & Outsourcing,"Chicago, IL",97,129
Square One Resources,SAP Data Management Analyst,113.0,Staffing & Outsourcing,"Chicago, IL",97,129
Esquire Recruiting,Senior Marketing Data Analyst (Real Estate),113.0,Staffing & Outsourcing,"Chicago, IL",97,129
Source Alliance Network LLC,Logistics Data Analyst II,113.0,Transportation Management,"Chicago, IL",97,129
Walgreens,"Senior Analyst, Data Analytics",113.0,Drug & Health Stores,"Deerfield, IL",97,129
Tempus,Senior Data Analyst - Informatics,113.0,Financial Transaction Processing,"Chicago, IL",97,129
Steiner Electric Co,Data Quality Analyst-Product Content Specialist,113.0,Wholesale,"Elk Grove Village, IL",97,129
"Xeris Pharmaceuticals, Inc.",Sr. Sales Operations & Data Analyst,113.0,Biotech & Pharmaceuticals,"Chicago, IL",97,129
TechUSA,Senior data analyst,113.0,Staffing & Outsourcing,"Chicago, IL",97,129
Metropolitan Family Services,Data Analyst (MPI),113.0,Membership Organizations,"Chicago, IL",97,129
Flexport,"Senior Data Analyst, Sales",113.0,Logistics & Supply Chain,"Chicago, IL",97,129
TechUSA,Data Governance and Analytics Analyst,77.5,Staffing & Outsourcing,"Chicago, IL",68,87
University of Illinois Hospital & Health Sciences System,Clinical Practice Data Analyst Specialist (Clinical Research Data Manager) - Mile Square Main,77.5,Health Care Services & Hospitals,"Chicago, IL",68,87
Centene Corporation,Lead Data Analyst,77.5,Insurance Carriers,"Chicago, IL",68,87
University of Illinois at Chicago,Clinical Practice Data Analyst Specialist,77.5,Colleges & Universities,"Chicago, IL",68,87
RiverPoint,Sr. Business Analyst Data Privacy,77.5,Advertising & Marketing,"Chicago, IL",68,87
TalentDash,IT Risk and Compliance Data Reporting Analyst,77.5,Enterprise Software & Network Solutions,"Chicago, IL",68,87
"Retail Business Services, LLC",Analyst IV Systems - Data Engineering,77.5,Food & Beverage Stores,"Chicago, IL",68,87
22nd Century Technologies,Data Analyst Alteryx Experience MUST,77.5,IT Services,"Chicago, IL",68,87
RiverPoint,Sr. Business Analyst Data Privacy,77.5,Accounting,"Chicago, IL",68,87
Lorven Technologies Inc,SAS Data Analyst,77.5,Accounting,"Arlington Heights, IL",68,87
Walgreens,Business Systems Analyst III - Data Engineering(Lead Product Owner),77.5,Drug & Health Stores,"Deerfield, IL",68,87
PNC Financial Services Group,Data Scientist Sr. - Conversation Designer & NLP Analyst,77.5,Banks & Credit Unions,"Downers Grove, IL",68,87
Lorven Technologies Inc,Data analyst with Bigdata,77.5,Accounting,"Chicago, IL",68,87
N.F. Smith & Associates,Data Analyst,33.5,Wholesale,"Houston, TX",29,38
Virtus Partners LLC,Data Analyst I,33.5,Investment Banking & Asset Management,"Houston, TX",29,38
Smith and Associates,Data Analyst,33.5,Legal,"Houston, TX",29,38
Andiamo,Data Analyst,33.5,Casual Restaurants,"Houston, TX",29,38
Crown Castle USA Inc,Data Quality Analyst,33.5,Telecommunications Services,"Houston, TX",29,38
Luminess Cosmetics,Financial Data Analyst,33.5,Consumer Products Manufacturing,"Stafford, TX",29,38
Mondo,Cost Data Analyst,33.5,Staffing & Outsourcing,"Houston, TX",29,38
cPanel,Data Analyst,33.5,Computer Hardware & Software,"Houston, TX",29,38
Harris County,"Data Analyst, Reporting",33.5,Health Care Services & Hospitals,"Houston, TX",29,38
Entera,Product and Data Analyst,33.5,Real Estate,"Houston, TX",29,38
Genesys Talent,Data Analyst - 20,33.5,Staffing & Outsourcing,"Houston, TX",29,38
Horne LLP,Data Analyst,33.5,Accounting,"Houston, TX",29,38
The Bank of New York Mellon,"Analyst, Data Mgmt / Quant Analysis",33.5,Investment Banking & Asset Management,"Houston, TX",29,38
McLane Global,Data Analyst,33.5,Wholesale,"Houston, TX",29,38
Kelsey-Seybold Medical Group,Data Analyst & Healthcare Analytics,33.5,Health Care Services & Hospitals,"Pearland, TX",29,38
Pareto Systems,Data Analyst,33.5,IT Services,"Stafford, TX",29,38
Arthur Lawrence,Business Analyst Data Governance,33.5,Consulting,"Houston, TX",29,38
