Job Title,Salary Estimate,Company Name,Location,Size,Type of ownership,Industry,Sector
Senior Data Analyst,$53K-$104K (Glassdoor est.),"CloudFlare
3.7","Austin, TX",1001 to 5000 employees,Company - Public,Internet,Information Technology
Managed Care Data Analyst,$35K-$42K (Glassdoor est.),"Sonic Healthcare USA
2.7","Austin, TX",10000+ employees,Company - Public,Health Care Services & Hospitals,Health Care
Technical Data Analyst,$35K-$42K (Glassdoor est.),"Ascension
3.3","Austin, TX",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Strategic Data Analyst III - Strategic Planning Divsion,$35K-$42K (Glassdoor est.),"TxDOT
3.8","Austin, TX",10000+ employees,Government,State & Regional Agencies,Government
Junior Data Warehouse Analyst,$35K-$42K (Glassdoor est.),"ISHPI Information Technologies
3.5","Austin, TX",201 to 500 employees,Company - Private,IT Services,Information Technology
Data Warehouse Analyst,$35K-$42K (Glassdoor est.),"University Federal Credit Union
3.5","Austin, TX",501 to 1000 employees,Nonprofit Organization,Banks & Credit Unions,Finance
Data Analyst - Public Sector,$35K-$42K (Glassdoor est.),"Sense Corp
3.8","Austin, TX",201 to 500 employees,Company - Private,Accounting,Accounting & Legal
"Data Analyst, Lead with Security Clearance",$35K-$42K (Glassdoor est.),"Booz Allen Hamilton
3.8","Austin, TX",10000+ employees,Company - Public,Consulting,Business Services
System/Data Analyst,$35K-$42K (Glassdoor est.),"22nd Century Technologies
3.7","Austin, TX",1001 to 5000 employees,Company - Private,IT Services,Information Technology
Data Governance Analyst/Lead,$35K-$42K (Glassdoor est.),"SMIT Solutions
3.0","Austin, TX",Unknown,Unknown,-1,-1
Data Warehouse Analyst,$35K-$42K (Glassdoor est.),"Octo Consulting Group
3.9","Austin, TX",501 to 1000 employees,Company - Private,Consulting,Business Services
Data Analyst III,$35K-$42K (Glassdoor est.),"Seven Seven Softwares
3.1","Austin, TX",201 to 500 employees,Company - Public,IT Services,Information Technology
Data Analyst III,$35K-$42K (Glassdoor est.),"Wellcare
3.7","Austin, TX",5001 to 10000 employees,Company - Public,Insurance Carriers,Insurance
Senior Strategy Data Analyst,$35K-$42K (Glassdoor est.),"Central Health
3.6","Austin, TX",51 to 200 employees,Government,Health Care Services & Hospitals,Health Care
BI Data Analyst and Specialist,$35K-$42K (Glassdoor est.),Sam Bharath,"West Lake Hills, TX",-1,-1,-1,-1
Data Analyst IV,$35K-$42K (Glassdoor est.),"Texas Health & Human Services Commission
2.8","Austin, TX",10000+ employees,Government,State & Regional Agencies,Government
Clinical Data Management - Technical Analyst,$35K-$42K (Glassdoor est.),"Ascension
3.3","Austin, TX",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Splunk Data Analyst,$35K-$42K (Glassdoor est.),"BayOne Solutions
4.1","Austin, TX",1001 to 5000 employees,Company - Private,IT Services,Information Technology
Data Analyst III,$35K-$42K (Glassdoor est.),"Superior HealthPlan
3.3","Austin, TX",1001 to 5000 employees,Company - Private,Health Care Services & Hospitals,Health Care
Data Analyst Junior,$35K-$42K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","Austin, TX",51 to 200 employees,Company - Private,IT Services,Information Technology
20-63 Flood Planning Data Analyst (Data Analyst III),$35K-$42K (Glassdoor est.),"Texas Water Development Board
2.8","Austin, TX",201 to 500 employees,Government,State & Regional Agencies,Government
Operations Research Analyst (Data Scientist),$35K-$42K (Glassdoor est.),United States Army Futures Command,"Austin, TX",-1,-1,-1,-1
Leading Data-Driven Change -- Data Industry Analyst,$35K-$42K (Glassdoor est.),"GasPedal
3.5","Austin, TX",1 to 50 employees,Company - Private,Membership Organizations,Business Services
SQL Data and Integration Analyst,$35K-$42K (Glassdoor est.),"Smartwebs, Inc.
4.1","Round Rock, TX",Unknown,Company - Private,Advertising & Marketing,Business Services
Industry Analyst -- Data Science and Strategy,$35K-$42K (Glassdoor est.),"GasPedal
3.5","Austin, TX",1 to 50 employees,Company - Private,Membership Organizations,Business Services
Senior Data Analyst,$35K-$42K (Glassdoor est.),Iris Plans Inc.,"Austin, TX",1 to 50 employees,Company - Private,-1,-1
Simulation Data Analyst,$35K-$42K (Glassdoor est.),"Hyliion
2.7","Cedar Park, TX",1 to 50 employees,Company - Private,Trucking,Transportation & Logistics
Data Analyst/Program Manager,$35K-$42K (Glassdoor est.),softsnippets,"Austin, TX",-1,-1,-1,-1
Data Analyst III,$35K-$42K (Glassdoor est.),"Centene Corporation
3.3","Austin, TX",10000+ employees,Company - Public,Insurance Carriers,Insurance
Senior Data Analyst / Senior BI and Insights Analyst,$35K-$42K (Glassdoor est.),"Quantilus, Inc
4.4","Round Rock, TX",1 to 50 employees,Company - Private,IT Services,Information Technology
"Associate, Strategy and Operations (Data Analyst IV)",$35K-$42K (Glassdoor est.),"Texas Education Agency
2.8","Austin, TX",501 to 1000 employees,Government,State & Regional Agencies,Government
19-84R Team Lead (Data Analyst IV),$43K-$77K (Glassdoor est.),"Texas Water Development Board
2.8","Austin, TX",201 to 500 employees,Government,State & Regional Agencies,Government
Data Lineage Analyst,$43K-$77K (Glassdoor est.),"The Judge Group
3.5","Round Rock, TX",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
DPS - FIN - CAPPS Financial Senior Data Analyst,$43K-$77K (Glassdoor est.),"TEXAS DEPARTMENT OF PUBLIC SAFETY
3.4","Austin, TX",1001 to 5000 employees,Government,Municipal Governments,Government
Data Analyst,$40K-$72K (Glassdoor est.),"CSI Tech Inc.
3.0","Jacksonville, FL",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Reporting Analyst,$40K-$72K (Glassdoor est.),"Robert Half
3.5","Jacksonville, FL",10000+ employees,Company - Public,Staffing & Outsourcing,Business Services
USGAAP Financial and Reference Data Control Analyst Analyst,$40K-$72K (Glassdoor est.),"Deutsche Bank
3.5","Jacksonville, FL",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
Business/Data Analyst,$40K-$72K (Glassdoor est.),"Software Guidance & Assistance
3.7","Jacksonville, FL",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Junior Data Analyst,$40K-$72K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","Jacksonville, FL",51 to 200 employees,Company - Private,IT Services,Information Technology
Business/Data Analyst,$40K-$72K (Glassdoor est.),SGA Inc.,"Jacksonville, FL",1 to 50 employees,Company - Private,Architectural & Engineering Services,Business Services
Data Analyst,$40K-$72K (Glassdoor est.),"SNI Technology
3.5","Jacksonville, FL",201 to 500 employees,Company - Public,Staffing & Outsourcing,Business Services
"Assistant Vice President, Anti Financial Crime Data Quality Analyst - {KP4457495}",$40K-$72K (Glassdoor est.),"Deutsche Bank
3.5","Jacksonville, FL",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
Senior Data Analyst,$40K-$72K (Glassdoor est.),"BTG
3.9","Jacksonville, FL",1 to 50 employees,Company - Public,Advertising & Marketing,Business Services
Data Analyst,$40K-$72K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","Jacksonville, FL",51 to 200 employees,Company - Private,IT Services,Information Technology
"Assistant Vice President, Anti Financial Crime Data Quality Analyst",$40K-$72K (Glassdoor est.),"Deutsche Bank
3.5","Jacksonville, FL",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
Data Analyst Junior,$40K-$72K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","Jacksonville, FL",51 to 200 employees,Company - Private,IT Services,Information Technology
CDHP - Data Analyst Team Lead,$40K-$72K (Glassdoor est.),Medical Cost Containment Services Inc.,"Jacksonville, FL",-1,-1,-1,-1
Power BI Data Analyst,$40K-$72K (Glassdoor est.),LEFTA Systems,"Jacksonville, FL",-1,-1,-1,-1
Sr. Data Analyst - Guidewire Data Hub,$40K-$72K (Glassdoor est.),"Kemper
2.9","Jacksonville, FL",5001 to 10000 employees,Company - Public,Insurance Carriers,Insurance
Senior Data Analyst- Guidewire Data Hub,$40K-$72K (Glassdoor est.),"ARC Group
5.0","Jacksonville, FL",51 to 200 employees,Company - Private,Investment Banking & Asset Management,Finance
Guidewire Data Analyst,$40K-$72K (Glassdoor est.),"American Recruiting & Consulting Group
5.0","Jacksonville, FL",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
System Analyst (Data) - PL/SQl Server,$40K-$72K (Glassdoor est.),"Diverse Lynx
3.9","Jacksonville, FL",501 to 1000 employees,Company - Private,IT Services,Information Technology
ACA - Data Analyst,$40K-$72K (Glassdoor est.),Medical Cost Containment Services Inc.,"Jacksonville, FL",-1,-1,-1,-1
"Data Analyst, Military Forecasting",$50K-$86K (Glassdoor est.),"Textron
3.3","Fort Worth, TX",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense
Human Performance Data Analyst,$50K-$86K (Glassdoor est.),"Reef Systems
4.6","Fort Worth, TX",1 to 50 employees,Company - Public,-1,-1
Medical Data Analyst,$50K-$86K (Glassdoor est.),"CornerStone Staffing
3.8","Fort Worth, TX",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Analyst,$50K-$86K (Glassdoor est.),Thinkfind Corporation,"Fort Worth, TX",1 to 50 employees,Company - Private,IT Services,Information Technology
"Data Analyst, Military Forecasting",$50K-$86K (Glassdoor est.),"Bell Helicopter
3.9","Fort Worth, TX",5001 to 10000 employees,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense
Data Reporting Analyst,$50K-$86K (Glassdoor est.),"E Business International
3.1","Fort Worth, TX",51 to 200 employees,Company - Private,IT Services,Information Technology
Data Analyst,$50K-$86K (Glassdoor est.),"InfoVision, Inc.
4.4","Irving, TX",1001 to 5000 employees,Company - Private,IT Services,Information Technology
Data Analyst Assistant,$50K-$86K (Glassdoor est.),"Company Confidenital
5.0","Fort Worth, TX",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Systems Engineer - Data Analyst (Level 3),$50K-$86K (Glassdoor est.),"Lockheed Martin
3.8","Fort Worth, TX",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense
Sr Data Analyst,$50K-$86K (Glassdoor est.),"GM Financial
2.9","Fort Worth, TX",5001 to 10000 employees,Company - Public,Lending,Finance
Data/Sales Analyst,$50K-$86K (Glassdoor est.),Samsung HVAC,"Roanoke, TX",51 to 200 employees,Other Organization,Commercial Equipment Repair & Maintenance,"Construction, Repair & Maintenance"
Data/Financial Analyst,$35K-$67K (Glassdoor est.),"SUNSET LOGISTICS, INC
1.7","Fort Worth, TX",51 to 200 employees,Company - Private,Transportation Management,Transportation & Logistics
Data Analyst - Intelligent Automation,$35K-$67K (Glassdoor est.),"Prudent Technologies & Consulting
4.2","Fort Worth, TX",51 to 200 employees,Company - Private,IT Services,Information Technology
(Risk Data Analyst),$35K-$67K (Glassdoor est.),"System Soft Technologies
4.8","Fort Worth, TX",201 to 500 employees,Company - Private,IT Services,Information Technology
Systems Analyst - Data Conversion,$35K-$67K (Glassdoor est.),"Fidelity TalentSource
3.9","Westlake, TX",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
"Business Analyst with Data Governance ,IDQ exp",$35K-$67K (Glassdoor est.),SM LOgics Inc,"Fort Worth, TX",Unknown,Company - Public,-1,-1
"Business Analyst with Data Governance ,IDQ exp",$35K-$67K (Glassdoor est.),smlogics,"Fort Worth, TX",-1,-1,-1,-1
(Data Risk Analyst: Data Modeler),$35K-$67K (Glassdoor est.),"System Soft Technologies
4.8","Fort Worth, TX",201 to 500 employees,Company - Private,IT Services,Information Technology
+ Global Process Data Analyst,$57K-$70K (Glassdoor est.),"InfoQuest Consulting Group
4.7","Fort Worth, TX",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
BI Data Analyst / Specialist,$57K-$70K (Glassdoor est.),"Global Technical Talent, LLC
3.6","Westlake, TX",501 to 1000 employees,Company - Private,IT Services,Information Technology
Data Analyst,$28K-$52K (Glassdoor est.),"CyberCoders
4.2","Columbus, OH",201 to 500 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
Data Analyst,$28K-$52K (Glassdoor est.),"Olive
3.6","Columbus, OH",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Data Analyst-Quality Improvement Services,$28K-$52K (Glassdoor est.),"Nationwide Children's Hospital
3.7","Columbus, OH",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Data Analyst,$28K-$52K (Glassdoor est.),"The Paragon Group
2.9","Columbus, OH",1001 to 5000 employees,Company - Public,Banks & Credit Unions,Finance
Fraud Data Analyst,$28K-$52K (Glassdoor est.),"Abercrombie & Fitch Co.
3.5","Columbus, OH",10000+ employees,Company - Public,"Department, Clothing, & Shoe Stores",Retail
Software Engineer - Data Analyst,$28K-$52K (Glassdoor est.),"JPMorgan Chase
3.9","Columbus, OH",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
Data Analyst,$28K-$52K (Glassdoor est.),Beacon Hill Technologies,"Columbus, OH",-1,-1,-1,-1
Business Data Analyst,$28K-$52K (Glassdoor est.),"DHL
3.8","Westerville, OH",10000+ employees,Company - Private,Logistics & Supply Chain,Transportation & Logistics
Business Analyst / Data Scientist Manager,$28K-$52K (Glassdoor est.),"Abbott Laboratories
3.6","Columbus, OH",10000+ employees,Company - Public,Health Care Services & Hospitals,Health Care
Junior Data Analyst,$28K-$52K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","Columbus, OH",51 to 200 employees,Company - Private,IT Services,Information Technology
Program Data Analyst,$28K-$52K (Glassdoor est.),"Economic and Community Development Institute
2.3","Columbus, OH",1 to 50 employees,Nonprofit Organization,Lending,Finance
Business Data Analyst - I,$28K-$52K (Glassdoor est.),"Avacend, Inc.
2.5","Hilliard, OH",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Planning Analyst - Data Resource Center,$28K-$52K (Glassdoor est.),"Nationwide Children's Hospital
3.7","Columbus, OH",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Data Analyst,$28K-$52K (Glassdoor est.),"Data Systems Integration Group Inc
2.8","Columbus, OH",1 to 50 employees,Company - Private,Accounting,Accounting & Legal
Data Analyst,$28K-$52K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","Columbus, OH",51 to 200 employees,Company - Private,IT Services,Information Technology
"Data Analyst II(Claims,SQL,Billing,Healthcare)",$28K-$52K (Glassdoor est.),"Buckeye Health Plan
3.4","Columbus, OH",1001 to 5000 employees,Company - Public,Health Care Services & Hospitals,Health Care
Data Analyst,$28K-$52K (Glassdoor est.),"Beacon Hill Staffing Group
4.5","Columbus, OH",501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services
"Data Analyst II(Claims,SQL,Billing,Healthcare)",$28K-$52K (Glassdoor est.),"Buckeye Community Health Plan
3.4","Columbus, OH",51 to 200 employees,Company - Private,-1,-1
Financial Data Analyst,$28K-$52K (Glassdoor est.),"Aspen Careers, LLC","Columbus, OH",-1,-1,-1,-1
Data Validation Analyst,$28K-$52K (Glassdoor est.),"Revel IT
5.0","Dublin, OH",201 to 500 employees,Company - Private,IT Services,Information Technology
Data Analyst,$28K-$52K (Glassdoor est.),"UNICON International, Inc
4.5","Columbus, OH",1 to 50 employees,Company - Private,-1,-1
"JPSC-7975 - Data Analyst Lead- Columbus, OH (LOCAL CANDIDATES ONLY)",$28K-$52K (Glassdoor est.),"Avani Technology Solutions
4.5","Columbus, OH",501 to 1000 employees,Company - Private,IT Services,Information Technology
Data Statistics Analyst PFK - Care Coordination,$28K-$52K (Glassdoor est.),"Nationwide Children's Hospital
3.7","Columbus, OH",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Data Analyst Junior,$28K-$52K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","Columbus, OH",51 to 200 employees,Company - Private,IT Services,Information Technology
Analyst: Data Analytics,$28K-$52K (Glassdoor est.),"Avacend, Inc.
2.5","Hilliard, OH",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Information Security and Data Protection Analyst,$28K-$52K (Glassdoor est.),"Amyx, Inc.
4.0","Columbus, OH",501 to 1000 employees,Company - Private,IT Services,Information Technology
Technical Data Analyst,$28K-$52K (Glassdoor est.),"Dedicated Tech Services, Inc.
4.5","Dublin, OH",1 to 50 employees,Private Practice / Firm,IT Services,Information Technology
"Data Scientist/Programmer, Sr. Analyst - Abbott Nutrition - Columbus, OH",$28K-$52K (Glassdoor est.),"Abbott
3.6","Columbus, OH",10000+ employees,Company - Public,Health Care Services & Hospitals,Health Care
Accounting Data Analyst / Implementation Specialist,$46K-$86K (Glassdoor est.),"Marker, Inc.","Columbus, OH",Unknown,Company - Private,-1,-1
Information Security and Data Protection Analyst,$46K-$86K (Glassdoor est.),"Amyx, Iinc.","Columbus, OH",-1,-1,-1,-1
"Data Analyst III (Population Health , Pharmacy, SQL)",$46K-$86K (Glassdoor est.),"Buckeye Community Health Plan
3.4","Columbus, OH",51 to 200 employees,Company - Private,-1,-1
"Data Analyst III (Population Health , Pharmacy, SQL)",$46K-$86K (Glassdoor est.),"Buckeye Health Plan
3.4","Columbus, OH",1001 to 5000 employees,Company - Public,Health Care Services & Hospitals,Health Care
Data Statistics Analyst PFK Care Coordination,$46K-$86K (Glassdoor est.),"Nationwide Childrens Hospital
3.7","Columbus, OH",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Software Engineer - Senior Data Analyst,$46K-$86K (Glassdoor est.),"JPMorgan Chase Bank, N.A.
3.9","Columbus, OH",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
Sr Data Analyst,$46K-$86K (Glassdoor est.),"Creative Financial Staffing
4.5","Westerville, OH",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
Analytic Consultant 4 - Data Analyst,$50K-$86K (Glassdoor est.),"Wells Fargo
3.6","Charlotte, NC",10000+ employees,Company - Public,Banks & Credit Unions,Finance
Operations Data Analyst,$50K-$86K (Glassdoor est.),"Brighthouse Financial
3.8","Charlotte, NC",1001 to 5000 employees,Company - Public,Insurance Carriers,Insurance
Data Business Analyst,$50K-$86K (Glassdoor est.),"Payzer
5.0","Charlotte, NC",51 to 200 employees,Company - Private,-1,-1
Federal - Data Analyst,$50K-$86K (Glassdoor est.),"Accenture
3.9","Charlotte, NC",10000+ employees,Company - Public,Consulting,Business Services
Data Analyst,$50K-$86K (Glassdoor est.),"Tata Consultancy Services
3.8","Charlotte, NC",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology
Marketing Data Analyst,$50K-$86K (Glassdoor est.),"Trivest
5.0","Mooresville, NC",1 to 50 employees,Company - Private,Venture Capital & Private Equity,Finance
Data Analyst I (Strong Salesforce.com),$50K-$86K (Glassdoor est.),"pureIntegration
3.4","Charlotte, NC",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Data Analyst I,$50K-$86K (Glassdoor est.),"Kforce
4.1","Charlotte, NC",10000+ employees,Company - Public,Staffing & Outsourcing,Business Services
Data Analyst,$50K-$86K (Glassdoor est.),"Collabera
4.1","Charlotte, NC",10000+ employees,Company - Private,IT Services,Information Technology
Data Analyst,$50K-$86K (Glassdoor est.),"TEKsystems
3.9","Charlotte, NC",1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
Data Analyst,$50K-$86K (Glassdoor est.),"Artech LLC
3.9","Charlotte, NC",5001 to 10000 employees,Company - Private,Staffing & Outsourcing,Business Services
Financial Data Analyst,$50K-$86K (Glassdoor est.),"Randstad
3.6","Charlotte, NC",1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
Data Analyst,$50K-$86K (Glassdoor est.),"Matlen Silver
3.4","Charlotte, NC",201 to 500 employees,Company - Private,IT Services,Information Technology
Data Analyst,$50K-$86K (Glassdoor est.),"Randstad
3.6","Charlotte, NC",1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
Data Analyst,$50K-$86K (Glassdoor est.),"Diversant LLC
3.8","Charlotte, NC",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Science Analyst,$50K-$86K (Glassdoor est.),"Signature Consultants
3.6","Charlotte, NC",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Analyst,$50K-$86K (Glassdoor est.),"Sysmind LLC
4.1","Charlotte, NC",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Data Analyst,$50K-$86K (Glassdoor est.),"Tata Consultancy Services (North America)
3.7","Charlotte, NC",10000+ employees,Subsidiary or Business Segment,IT Services,Information Technology
Business Data Analyst,$50K-$86K (Glassdoor est.),"Robert Half
3.5","Charlotte, NC",10000+ employees,Company - Public,Staffing & Outsourcing,Business Services
Data Analyst,$50K-$86K (Glassdoor est.),"Kforce
4.1","Charlotte, NC",10000+ employees,Company - Public,Staffing & Outsourcing,Business Services
Data Business Analyst,$50K-$86K (Glassdoor est.),"TEKsystems
3.9","Charlotte, NC",1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
Junior Data Analyst,$50K-$86K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","Charlotte, NC",51 to 200 employees,Company - Private,IT Services,Information Technology
Data Analyst,$50K-$86K (Glassdoor est.),"Conch Technologies, Inc
4.6","Charlotte, NC",51 to 200 employees,Company - Private,Consulting,Business Services
Data Analyst,$50K-$86K (Glassdoor est.),"Neo Prism Solutions
3.2","Charlotte, NC",51 to 200 employees,Company - Private,Accounting,Accounting & Legal
Data Management Analyst,$50K-$86K (Glassdoor est.),"TEKsystems, Inc
3.9","Charlotte, NC",1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
Financial Data Analyst - Full Time,$50K-$86K (Glassdoor est.),Data Bridge Consultants,"Charlotte, NC",-1,-1,-1,-1
Data analyst,$50K-$86K (Glassdoor est.),"Resource Logistics, Inc.
4.7","Charlotte, NC",51 to 200 employees,Company - Private,Logistics & Supply Chain,Transportation & Logistics
Data Analyst,$50K-$86K (Glassdoor est.),"Diverse Lynx
3.9","Charlotte, NC",501 to 1000 employees,Company - Private,IT Services,Information Technology
Senior CX Data Analyst,$50K-$86K (Glassdoor est.),"Vanguard
3.2","Charlotte, NC",10000+ employees,Company - Private,Investment Banking & Asset Management,Finance
Data Engineer/Analyst,$50K-$86K (Glassdoor est.),"Vaco Technology
3.3","Charlotte, NC",501 to 1000 employees,Company - Private,Consulting,Business Services
Federal - Data Analyst,$54K-$75K (Glassdoor est.),Accenture Contractor Jobs,"Charlotte, NC",-1,-1,-1,-1
Quality Data Analyst,$54K-$75K (Glassdoor est.),"OrthoCarolina
3.6","Charlotte, NC",501 to 1000 employees,Company - Private,Health Care Services & Hospitals,Health Care
Data Visualization Analyst,$54K-$75K (Glassdoor est.),"American Tire Distributors
2.8","Huntersville, NC",1001 to 5000 employees,Company - Private,Logistics & Supply Chain,Transportation & Logistics
Senior Data Analyst,$54K-$75K (Glassdoor est.),"NTT DATA Corporation
3.4","Charlotte, NC",10000+ employees,Company - Public,IT Services,Information Technology
HR Data Analyst,$54K-$75K (Glassdoor est.),"Apex Systems
3.8","Charlotte, NC",1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
Data Analyst/Business Analyst,$54K-$75K (Glassdoor est.),"Signature Consultants
3.6","Charlotte, NC",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Analyst,$54K-$75K (Glassdoor est.),"eTeam Inc.
3.7","Charlotte, NC",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Analyst,$54K-$75K (Glassdoor est.),"AccessOne
2.0","Fort Mill, SC",1 to 50 employees,Company - Private,-1,-1
BI Data Analyst,$54K-$75K (Glassdoor est.),"Nesco Resource, LLC
2.9","Fort Mill, SC",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Analyst,$54K-$75K (Glassdoor est.),"RGP
4.1","Charlotte, NC",1001 to 5000 employees,Company - Public,Consulting,Business Services
Enterprise Data Office Analyst IV,$54K-$75K (Glassdoor est.),"Truist
3.5","Charlotte, NC",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
Data Analyst/ Python with Banking Experience,$54K-$75K (Glassdoor est.),"Shimento, Inc.
2.9","Charlotte, NC",1 to 50 employees,Company - Private,-1,-1
Data Analyst,$54K-$75K (Glassdoor est.),Parks Heating & Cooling,"Indian Trail, NC",51 to 200 employees,Company - Public,General Repair & Maintenance,"Construction, Repair & Maintenance"
Systems/Data Analyst,$54K-$75K (Glassdoor est.),"Randstad
3.6","Charlotte, NC",1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
Data Analyst (Real Time Data Consultant Needed),$54K-$75K (Glassdoor est.),"Conch Technologies, Inc
4.6","Charlotte, NC",51 to 200 employees,Company - Private,Consulting,Business Services
Data Visualization Analyst,$54K-$75K (Glassdoor est.),"PCR Staffing
5.0","Huntersville, NC",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
57072 - Market data Analyst - 100 % remote,$54K-$75K (Glassdoor est.),"Tek Leaders
3.5","Charlotte, NC",501 to 1000 employees,Company - Private,IT Services,Information Technology
Application Programmer V/ Database Developer/ Data Analyst,$54K-$75K (Glassdoor est.),"DATA Inc.
4.3","Charlotte, NC",501 to 1000 employees,Company - Private,IT Services,Information Technology
Data Analyst,$54K-$75K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","Charlotte, NC",51 to 200 employees,Company - Private,IT Services,Information Technology
Data Analyst,$54K-$75K (Glassdoor est.),LiveMindz,"Charlotte, NC",51 to 200 employees,Company - Private,-1,-1
Data Standardization Analyst(s),$54K-$75K (Glassdoor est.),"London Stock Exchange Group
3.2","Charlotte, NC",1001 to 5000 employees,Company - Public,Stock Exchanges,Finance
DATA MGMT ANALYST,$54K-$75K (Glassdoor est.),"Kforce
4.1","Charlotte, NC",10000+ employees,Company - Public,Staffing & Outsourcing,Business Services
"Data Quality Analyst, Financial Services",$54K-$75K (Glassdoor est.),"NTT DATA Services
3.4","Charlotte, NC",10000+ employees,Company - Public,IT Services,Information Technology
Data Analyst II,$54K-$75K (Glassdoor est.),"Meridian Technologies
4.0","Charlotte, NC",Unknown,Unknown,-1,-1
Data Governance Analyst,$54K-$75K (Glassdoor est.),"TEKsystems, Inc
3.9","Charlotte, NC",1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
Data Integration Analyst,$54K-$75K (Glassdoor est.),"Cardinal Innovations Healthcare
2.9","Charlotte, NC",501 to 1000 employees,Company - Public,Health Care Services & Hospitals,Health Care
Data Analyst with Banking Domain,$54K-$75K (Glassdoor est.),"CYNET SYSTEMS
4.0","Charlotte, NC",501 to 1000 employees,Company - Private,IT Services,Information Technology
Financial Data Analyst - Full Time,$54K-$75K (Glassdoor est.),dataBridge,"Charlotte, NC",1 to 50 employees,Other Organization,-1,-1
Data Analyst - Metadata Analyst,$53K-$99K (Glassdoor est.),"Collabera
4.1","Fort Mill, SC",10000+ employees,Company - Private,IT Services,Information Technology
Business Data Analyst,$53K-$99K (Glassdoor est.),"PCR Staffing
5.0","Huntersville, NC",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
Senior Data Analyst,$53K-$99K (Glassdoor est.),"Randstad
3.6","Charlotte, NC",1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
Senior Business Analyst / Data Analyst,$53K-$99K (Glassdoor est.),"Kforce
4.1","Charlotte, NC",10000+ employees,Company - Public,Staffing & Outsourcing,Business Services
Data Visualization Analyst - N.,$53K-$99K (Glassdoor est.),"Vaco Technology
3.3","Charlotte, NC",501 to 1000 employees,Company - Private,Consulting,Business Services
